epoch,Training Loss,Valid. Loss,Learning Rate,Weight Decay,Drop out Rate,Pearson,Pearson Some,Kappa,Kappa Some,Pearson (Anger),Pearson some (Anger),Kappa (Anger),Kappa some (Anger),Pearson (Fear),Pearson some (Fear),Kappa (Fear),Kappa some (Fear),Pearson (Joy),Pearson some (Joy),Kappa (Joy),Kappa some (Joy),Pearson (Sadness),Pearson some (Sadness),Kappa (Sadness),Kappa some (Sadness),Training Time,Validation Time
4,0.5056154820000001,1.86370925,5e-05,0.95,0.1,0.424826241,0.31237791800000003,0.390277993,0.268552095,0.435090215,0.185414219,0.412462485,0.17463992600000003,0.353804613,0.270693562,0.301344595,0.257438278,0.444394164,0.494857573,0.398882736,0.356086625,0.46601597200000006,0.29854632,0.44842215399999996,0.286043552,00:03:56,00:04:17
5,0.37332182799999997,1.939267006,5e-05,0.95,0.1,0.39612068,0.315683874,0.364114317,0.289489276,0.395081257,0.207618932,0.363415779,0.197016985,0.27971901899999996,0.216501478,0.228022027,0.20358209,0.492527705,0.49168008399999996,0.47284736899999996,0.423433015,0.41715474,0.34693500299999996,0.392172091,0.33392501399999996,00:03:56,00:04:17
1,1.2668677259999999,1.295138883,2e-05,0.8,0.2,0.325211132,0.312935025,0.29531806899999996,0.25562154600000003,0.387471749,0.294483646,0.364778479,0.249982968,0.314668162,0.28238319,0.264377867,0.234654647,0.169015721,0.315338543,0.15396790900000001,0.22429258300000002,0.429688897,0.35953472,0.39814802200000005,0.313555986,00:03:56,00:04:17
2,1.060213962,1.246411769,2e-05,0.8,0.2,0.37661372600000004,0.316559876,0.358254315,0.233637034,0.502773955,0.30540544,0.49705870399999996,0.238337775,0.300878656,0.306516547,0.28505427,0.228666905,0.26817614,0.335544649,0.22509407399999998,0.213257449,0.434626151,0.31877286899999996,0.425810212,0.254286008,00:03:56,00:04:17
3,0.838897184,1.412877229,2e-05,0.8,0.2,0.415660828,0.318964239,0.39224641200000004,0.25705474,0.520667098,0.326393687,0.509237728,0.285121177,0.285883158,0.18216154399999998,0.257374888,0.152439902,0.41397041799999995,0.46708529299999996,0.36937044,0.334759995,0.44212263700000004,0.300216432,0.433002591,0.255897886,00:03:56,00:04:17
4,0.634508239,1.627150504,2e-05,0.8,0.2,0.413201539,0.330210098,0.388203584,0.290437823,0.471008879,0.316145114,0.445188484,0.288632202,0.31760771600000004,0.179277646,0.272582019,0.162904637,0.386448862,0.473775758,0.373123088,0.390630614,0.477740701,0.351641876,0.461920744,0.31958384100000004,00:03:56,00:04:17
5,0.476774339,1.81200573,2e-05,0.8,0.2,0.39814898299999996,0.339894307,0.37005903,0.309248199,0.452660758,0.32156914,0.423228434,0.301267804,0.339077202,0.22799618600000002,0.279003065,0.217041469,0.377054596,0.491446819,0.37052748399999996,0.42462118,0.423803375,0.318565084,0.40747713700000004,0.294062342,00:03:56,00:04:17
1,1.256853693,1.259519852,2e-05,0.9,0.2,0.38372678299999996,0.321252642,0.347330669,0.241607711,0.462845644,0.302634451,0.436396206,0.243271281,0.310816873,0.198737702,0.26330674800000003,0.159791944,0.24939677600000001,0.39717073399999997,0.20718736899999998,0.242301085,0.511847839,0.38646768200000003,0.482432353,0.321066535,00:03:56,00:04:17
2,1.0474452029999999,1.239905979,2e-05,0.9,0.2,0.41766773700000004,0.336656369,0.400072456,0.284907178,0.48255332799999995,0.28029055,0.4727153,0.245397828,0.283161386,0.206432865,0.257503336,0.174887892,0.439562821,0.454745334,0.413521486,0.36434606799999997,0.465393412,0.40515672700000005,0.456549703,0.35499692299999996,00:03:56,00:04:17
3,0.8594172240000001,1.363584977,2e-05,0.9,0.2,0.434883601,0.341522449,0.405961811,0.29682142699999997,0.523731972,0.298416765,0.49743853,0.28413453699999996,0.32137176300000003,0.219812473,0.273128613,0.201591032,0.38390083799999997,0.467455661,0.35506547899999996,0.34866335200000004,0.51052983,0.380404895,0.49821462,0.352896789,00:03:56,00:04:18
4,0.695160372,1.5494229640000001,2e-05,0.9,0.2,0.45578694,0.34402973299999995,0.425954538,0.294364255,0.535177145,0.308425442,0.511001268,0.290271983,0.343813136,0.200509667,0.298184889,0.18410041800000002,0.415860615,0.491025098,0.37793768299999997,0.35727652200000004,0.528296865,0.376158724,0.516694313,0.345808096,00:03:56,00:04:17
